time_recv,packet_time,igniterarmed,ignitercurrent0,ignitercurrent1,igniterinternalstate0,igniterinternalstate1,alarminternalstate,solenoidinternalstategn2fill,solenoidinternalstategn2vent,solenoidinternalstategn2disconnect,solenoidinternalstatemvasfill,solenoidinternalstatemvasvent,solenoidinternalstatemvasopen,solenoidinternalstatemvasclose,solenoidinternalstateloxvent,solenoidinternalstatelngvent,supplyvoltage0,supplyvoltage1,supplyvoltage,solenoidcurrentgn2fill,solenoidcurrentgn2vent,solenoidcurrentgn2disconnect,solenoidcurrentmvasfill,solenoidcurrentmvasvent,solenoidcurrentmvasopen,solenoidcurrentmvasclose,solenoidcurrentloxvent,solenoidcurrentlngvent,temperatureengine1,temperatureengine2,pressuregn2,pressurevent,pressureloxinjtee,pressureloxmvas
1771701808.780431,30026188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9124000072479248,22.847999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,644.7063941001892,297.6599902153015,11.9,632.7895826339721
1771701808.7303581,30026088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8999999761581421,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,651.5160006523132,285.74320139884946,11.9,630.3575867652893
1771701808.6804965,30025988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8999999761581421,22.847999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,652.9751891136169,287.2023898601532,11.9,629.3847793579101
1771701808.6326706,30025888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876000046730042,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,650.7864064216614,274.312793636322,11.9,630.8440131187439
1771701808.599467,30025788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9124000072479248,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,647.6248163223266,290.3640026092529,11.9,630.8440131187439
1771701808.5301213,30025688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9309999942779541,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,653.2184022903442,317.84559669494627,11.9,632.3032015800476
1771701808.4799376,30025588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876000046730042,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,645.9224146842956,270.4216093063354,11.9,631.816820526123
1771701808.4299695,30025488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8813999891281128,22.816999435424805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,655.1640171051025,272.3672014713287,11.9,630.6007999420166
1771701808.380117,30025388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.872800827026367,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,655.4071849822998,279.9064022541046,11.9,633.2760089874267
1771701808.3313649,30025288,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8876000046730042,22.984399795532227,,0.0,0.0,0.0,0.0,0.0,0.6323580145835876,0.0,0.0,0.0,-1.0,-1.0,656.3799923896789,297.9032033920288,11.9,632.7895826339721
1771701808.280092,30025188,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8752000331878662,22.9906005859375,,0.0,0.0,0.0,0.0,0.0,0.6331750154495239,0.0,0.0,0.0,-1.0,-1.0,656.8664187431335,271.63760724067686,11.9,630.6007999420166
1771701808.231036,30025088,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8938000202178955,22.96579933166504,,0.0,0.0,0.0,0.0,0.0,0.6323580145835876,0.0,0.0,0.0,-1.0,-1.0,645.1928204536438,280.63599648475645,11.9,628.8983983039856
1771701808.1810222,30024988,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8876000046730042,22.922399520874023,,0.0,0.0,0.0,0.0,0.0,0.6307240128517151,0.0,0.0,0.0,-1.0,-1.0,647.6248163223266,277.23119320869444,11.9,628.6551851272583
1771701808.12998,30024888,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9248000383377075,22.953399658203125,,0.0,0.0,0.0,0.0,0.0,0.6339920163154602,0.0,0.0,0.0,-1.0,-1.0,653.7047833442688,276.74478950500486,11.9,629.8712057113647
1771701808.0806575,30024788,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9309999942779541,22.953399658203125,,0.0,0.0,0.0,0.0,0.0,0.6315410137176514,0.0,0.0,0.0,-1.0,-1.0,651.5160006523132,276.74478950500486,11.9,630.3575867652893
1771701808.030094,30024688,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9186000227928162,22.953399658203125,,0.0,0.0,0.0,0.0,0.0,0.6348090171813965,0.0,0.0,0.0,-1.0,-1.0,650.2999800682068,276.015195274353,11.9,628.412017250061
1771701807.9807003,30024588,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8938000202178955,22.953399658203125,,0.0,0.0,0.0,0.0,0.0,0.6323580145835876,0.0,0.0,0.0,-1.0,-1.0,649.3272179603576,278.69040431976316,11.9,630.8440131187439
1771701807.9301162,30024488,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8813999891281128,22.9906005859375,,0.0,0.0,0.0,0.0,0.0,0.6348090171813965,0.0,0.0,0.0,-1.0,-1.0,649.8135990142822,280.1495927810669,11.9,631.816820526123
1771701807.8811238,30024388,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8813999891281128,22.99679946899414,,0.0,0.0,0.0,0.0,0.0,0.6348090171813965,0.0,0.0,0.0,-1.0,-1.0,649.5703858375549,280.39280595779417,11.9,633.519222164154
1771701807.8302016,30024288,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8752000331878662,22.99679946899414,,0.0,0.0,0.0,0.0,0.0,0.6356260180473328,0.0,0.0,0.0,-1.0,-1.0,650.5431932449341,280.87920966148374,11.9,632.5464147567749
1771701807.7803264,30024188,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8690000176429749,23.003000259399414,,0.0,0.0,0.0,0.0,0.0,0.6356260180473328,0.0,0.0,0.0,-1.0,-1.0,650.0568121910095,273.09679570198057,11.9,633.519222164154
